subject,predicate,object
"CambrianStage9_quality","subClassOf","geological_age"
"Cambrian_Stage_10_a_Subage_quality","class","owl:Class"
"Cambrian_Stage_10_a_Subage_quality","subClassOf","geological_age"
"Cambrian_Stage_10_b_Subage_quality","class","owl:Class"
"Cambrian_Stage_10_b_Subage_quality","subClassOf","geological_age"
"Cambrian_quality","class","owl:Class"
"Cambrian_quality","subClassOf","geological_age"
"Campanian_quality","class","owl:Class"
"Campanian_quality","subClassOf","geological_age"
"Cantabrian_Subage_quality","class","owl:Class"
"Cantabrian_Subage_quality","subClassOf","geological_age"
"Capitanian_quality","class","owl:Class"
"Capitanian_quality","subClassOf","geological_age"
"Caradoc_Epoch_quality","class","owl:Class"
"Caradoc_Epoch_quality","subClassOf","geological_age"
"Carboniferous_quality","class","owl:Class"
"Carboniferous_quality","subClassOf","geological_age"
"Carixiano_quality","class","owl:Class"
"Carixiano_quality","subClassOf","geological_age"
"Carnian_quality","class","owl:Class"
"Carnian_quality","subClassOf","geological_age"
"Cautleyan_Age_quality","class","owl:Class"
"Cautleyan_Age_quality","subClassOf","geological_age"
"Cenomanian_quality","class","owl:Class"
"Cenomanian_quality","subClassOf","geological_age"
"Cenozoic_quality","class","owl:Class"
"Cenozoic_quality","subClassOf","geological_age"
"Chadian_Subage_quality","class","owl:Class"
"Chadian_Subage_quality","subClassOf","geological_age"
"Changhsingian_quality","class","owl:Class"
"Changhsingian_quality","subClassOf","geological_age"
"Chatauquan_Age_quality","class","owl:Class"
"Chatauquan_Age_quality","subClassOf","geological_age"
"Chattian_quality","class","owl:Class"
"Chattian_quality","subClassOf","geological_age"
"Chesterian_Age_quality","class","owl:Class"
"Chesterian_Age_quality","subClassOf","geological_age"
"Chokierian_Subage_quality","class","owl:Class"
"Chokierian_Subage_quality","subClassOf","geological_age"
"Cisuralian_quality","class","owl:Class"
"Cisuralian_quality","subClassOf","geological_age"
"Clansayesiano_quality","class","owl:Class"
"Clansayesiano_quality","subClassOf","geological_age"
"Coniacian_quality","class","owl:Class"
"Coniacian_quality","subClassOf","geological_age"
"Cordevoliano_quality","class","owl:Class"
"Cordevoliano_quality","subClassOf","geological_age"
"Courceyan_Subage_quality","class","owl:Class"
"Courceyan_Subage_quality","subClassOf","geological_age"
"Cretaceous_quality","class","owl:Class"
"Cretaceous_quality","subClassOf","geological_age"
"Cryogenian_quality","class","owl:Class"
"Cryogenian_quality","subClassOf","geological_age"
"Danian_quality","class","owl:Class"
"Danian_quality","subClassOf","geological_age"
"Dapingian_quality","class","owl:Class"
"Dapingian_quality","subClassOf","geological_age"
"Darriwilian_quality","class","owl:Class"
"Darriwilian_quality","subClassOf","geological_age"
"Desmoinesian_Age_quality","class","owl:Class"
"Desmoinesian_Age_quality","subClassOf","geological_age"
"Devonian_quality","class","owl:Class"
"Devonian_quality","subClassOf","geological_age"
"Dienerian_Subage_quality","class","owl:Class"
"Dienerian_Subage_quality","subClassOf","geological_age"
"Dinantian_Epoch_quality","class","owl:Class"
"Dinantian_Epoch_quality","subClassOf","geological_age"
"Dom_Joao_Age_quality","class","owl:Class"
"Dom_Joao_Age_quality","subClassOf","geological_age"
"Domeriano_quality","class","owl:Class"
"Domeriano_quality","subClassOf","geological_age"
"Drumian_quality","class","owl:Class"
"Drumian_quality","subClassOf","geological_age"
"Duckmantian_Subage_quality","class","owl:Class"
"Duckmantian_Subage_quality","subClassOf","geological_age"
"Ectasian_quality","class","owl:Class"
"Ectasian_quality","subClassOf","geological_age"
"Ediacaran_quality","class","owl:Class"
"Ediacaran_quality","subClassOf","geological_age"
"Eifelian_quality","class","owl:Class"
"Eifelian_quality","subClassOf","geological_age"
"Emsian_quality","class","owl:Class"
"Emsian_quality","subClassOf","geological_age"
"Eo_alagoas_Subage_quality","class","owl:Class"
"Eo_alagoas_Subage_quality","subClassOf","geological_age"
"Eo_aratu_Subage_quality","class","owl:Class"
"Eo_aratu_Subage_quality","subClassOf","geological_age"
"Eoarchean_quality","class","owl:Class"
"Eoarchean_quality","subClassOf","geological_age"
"Eoburacica_Subage_quality","class","owl:Class"
"Eoburacica_Subage_quality","subClassOf","geological_age"
"Eocene_quality","class","owl:Class"
"Eocene_quality","subClassOf","geological_age"
"Eodomjoao_Subage_quality","class","owl:Class"
"Eodomjoao_Subage_quality","subClassOf","geological_age"
"Eojiquia_Subage_quality","class","owl:Class"
"Eojiquia_Subage_quality","subClassOf","geological_age"
"Eoriodaserra_Subage_quality","class","owl:Class"
"Eoriodaserra_Subage_quality","subClassOf","geological_age"
"Famennian_quality","class","owl:Class"
"Famennian_quality","subClassOf","geological_age"
"Fassanian_Subage_quality","class","owl:Class"
"Fassanian_Subage_quality","subClassOf","geological_age"
"Floian_quality","class","owl:Class"
"Floian_quality","subClassOf","geological_age"
"Fortunian_quality","class","owl:Class"
"Fortunian_quality","subClassOf","geological_age"
"Frasnian_quality","class","owl:Class"
"Frasnian_quality","subClassOf","geological_age"
"Furongian_quality","class","owl:Class"
"Furongian_quality","subClassOf","geological_age"
"Gargasiano_quality","class","owl:Class"
"Gargasiano_quality","subClassOf","geological_age"
"Gelasian_quality","class","owl:Class"
"Gelasian_quality","subClassOf","geological_age"
"Givetian_quality","class","owl:Class"
"Givetian_quality","subClassOf","geological_age"
"Gorstian_quality","class","owl:Class"
"Gorstian_quality","subClassOf","geological_age"
"Greenlandian_quality","class","owl:Class"
"Greenlandian_quality","subClassOf","geological_age"
"Griesbachian_Subage_quality","class","owl:Class"
"Griesbachian_Subage_quality","subClassOf","geological_age"
"Guadalupian_quality","class","owl:Class"
"Guadalupian_quality","subClassOf","geological_age"
"Guzhangian_quality","class","owl:Class"
"Guzhangian_quality","subClassOf","geological_age"
"Gzhelian_quality","class","owl:Class"
"Gzhelian_quality","subClassOf","geological_age"
"Hadean_quality","class","owl:Class"
"Hadean_quality","subClassOf","geological_age"
"Hastarian_Subage_quality","class","owl:Class"
"Hastarian_Subage_quality","subClassOf","geological_age"
"Hauterivian_quality","class","owl:Class"
"Hauterivian_quality","subClassOf","geological_age"
"Hettangian_quality","class","owl:Class"
"Hettangian_quality","subClassOf","geological_age"
"Hirnantian_quality","class","owl:Class"
"Hirnantian_quality","subClassOf","geological_age"
"Holkerian_Subage_quality","class","owl:Class"
"Holkerian_Subage_quality","subClassOf","geological_age"
"Holocene_quality","class","owl:Class"
"Holocene_quality","subClassOf","geological_age"
"Homerian_quality","class","owl:Class"
"Homerian_quality","subClassOf","geological_age"
"Illyrian_Subage_quality","class","owl:Class"
"Illyrian_Subage_quality","subClassOf","geological_age"
"Induan_quality","class","owl:Class"
"Induan_quality","subClassOf","geological_age"
"Ivorian_Subage_quality","class","owl:Class"
"Ivorian_Subage_quality","subClassOf","geological_age"
"Jiangshanian_quality","class","owl:Class"
"Jiangshanian_quality","subClassOf","geological_age"
"Jiquia_Age_quality","class","owl:Class"
"Jiquia_Age_quality","subClassOf","geological_age"
"Julian_Subage_quality","class","owl:Class"
"Julian_Subage_quality","subClassOf","geological_age"
"Jurassic_quality","class","owl:Class"
"Jurassic_quality","subClassOf","geological_age"
"Kasimovian_quality","class","owl:Class"
"Kasimovian_quality","subClassOf","geological_age"
"Katian_quality","class","owl:Class"
"Katian_quality","subClassOf","geological_age"
"Kazaniano_quality","class","owl:Class"
"Kazaniano_quality","subClassOf","geological_age"
"Kimmeridgian_quality","class","owl:Class"
"Kimmeridgian_quality","subClassOf","geological_age"
"Kinderhookian_Age_quality","class","owl:Class"
"Kinderhookian_Age_quality","subClassOf","geological_age"
"Kinderscoutian_Subage_quality","class","owl:Class"
"Kinderscoutian_Subage_quality","subClassOf","geological_age"
"Kungurian_quality","class","owl:Class"
"Kungurian_quality","subClassOf","geological_age"
"Lacian_Subage_quality","class","owl:Class"
"Lacian_Subage_quality","subClassOf","geological_age"
"Ladinian_quality","class","owl:Class"
"Ladinian_quality","subClassOf","geological_age"
"Langhian_quality","class","owl:Class"
"Langhian_quality","subClassOf","geological_age"
"Langsettian_Subage_quality","class","owl:Class"
"Langsettian_Subage_quality","subClassOf","geological_age"
"Livian_Subage_quality","class","owl:Class"
"Livian_Subage_quality","subClassOf","geological_age"
"Llandeilo_quality","class","owl:Class"
"Llandeilo_quality","subClassOf","geological_age"
"Llandovery_quality","class","owl:Class"
"Llandovery_quality","subClassOf","geological_age"
"Llanvirn_quality","class","owl:Class"
"Llanvirn_quality","subClassOf","geological_age"
"Lochkovian_quality","class","owl:Class"
"Lochkovian_quality","subClassOf","geological_age"
"Longoboardian_Subage_quality","class","owl:Class"
"Longoboardian_Subage_quality","subClassOf","geological_age"
"Lopingian_quality","class","owl:Class"
"Lopingian_quality","subClassOf","geological_age"
"LowerCretaceous_quality","class","owl:Class"
"LowerCretaceous_quality","subClassOf","geological_age"
"LowerDevonian_quality","class","owl:Class"
"LowerDevonian_quality","subClassOf","geological_age"
"LowerJurassic_quality","class","owl:Class"
"LowerJurassic_quality","subClassOf","geological_age"
"LowerMississippian_quality","class","owl:Class"
"LowerMississippian_quality","subClassOf","geological_age"
"LowerOrdovician_quality","class","owl:Class"
"LowerOrdovician_quality","subClassOf","geological_age"
"LowerPennsylvanian_quality","class","owl:Class"
"LowerPennsylvanian_quality","subClassOf","geological_age"
"LowerTriassic_quality","class","owl:Class"
"LowerTriassic_quality","subClassOf","geological_age"
"Lower_Aalenian_Subage_quality","class","owl:Class"
"Lower_Aalenian_Subage_quality","subClassOf","geological_age"
"Lower_Albian_Subage_quality","class","owl:Class"
"Lower_Albian_Subage_quality","subClassOf","geological_age"
"Lower_Aptian_Subage_quality","class","owl:Class"
"Lower_Aptian_Subage_quality","subClassOf","geological_age"
"Lower_Bajocian_Subage_quality","class","owl:Class"
"Lower_Bajocian_Subage_quality","subClassOf","geological_age"
"Lower_Barremian_Subage_quality","class","owl:Class"
"Lower_Barremian_Subage_quality","subClassOf","geological_age"
"Lower_Bathonian_Subage_quality","class","owl:Class"
"Lower_Bathonian_Subage_quality","subClassOf","geological_age"
"Lower_Berriasian_Subage_quality","class","owl:Class"
"Lower_Berriasian_Subage_quality","subClassOf","geological_age"
"Lower_Callovian_Subage_quality","class","owl:Class"
"Lower_Callovian_Subage_quality","subClassOf","geological_age"
"Lower_Campanian_Subage_quality","class","owl:Class"
"Lower_Campanian_Subage_quality","subClassOf","geological_age"
"Lower_Cenomanian_Subage_quality","class","owl:Class"
"Lower_Cenomanian_Subage_quality","subClassOf","geological_age"
"Lower_Coniacian_Subage_quality","class","owl:Class"
"Lower_Coniacian_Subage_quality","subClassOf","geological_age"
"Lower_Famennian_Subage_quality","class","owl:Class"
"Lower_Famennian_Subage_quality","subClassOf","geological_age"
"Lower_Frasnian_Subage_quality","class","owl:Class"
"Lower_Frasnian_Subage_quality","subClassOf","geological_age"
"Lower_Givetian_Subage_quality","class","owl:Class"
"Lower_Givetian_Subage_quality","subClassOf","geological_age"
"Lower_Hauterivian_Subage_quality","class","owl:Class"
"Lower_Hauterivian_Subage_quality","subClassOf","geological_age"
"Lower_Kimmeridgian_Subage_quality","class","owl:Class"
"Lower_Kimmeridgian_Subage_quality","subClassOf","geological_age"
"Lower_Maastrichtian_Subage_quality","class","owl:Class"
"Lower_Maastrichtian_Subage_quality","subClassOf","geological_age"
"Lower_Oxfordian_Subage_quality","class","owl:Class"
"Lower_Oxfordian_Subage_quality","subClassOf","geological_age"
"Lower_Pliensbachian_Subage_quality","class","owl:Class"
"Lower_Pliensbachian_Subage_quality","subClassOf","geological_age"
"Lower_Santonian_Subage_quality","class","owl:Class"
"Lower_Santonian_Subage_quality","subClassOf","geological_age"
"Lower_Sinemurian_Subage_quality","class","owl:Class"
"Lower_Sinemurian_Subage_quality","subClassOf","geological_age"
"Lower_Tithonian_Subage_quality","class","owl:Class"
"Lower_Tithonian_Subage_quality","subClassOf","geological_age"
"Lower_Toarcian_Subage_quality","class","owl:Class"
"Lower_Toarcian_Subage_quality","subClassOf","geological_age"
"Lower_Turonian_Subage_quality","class","owl:Class"
"Lower_Turonian_Subage_quality","subClassOf","geological_age"
"Lower_Valanginian_Subage_quality","class","owl:Class"
"Lower_Valanginian_Subage_quality","subClassOf","geological_age"
"Ludfordian_quality","class","owl:Class"
"Ludfordian_quality","subClassOf","geological_age"
"Ludlow_quality","class","owl:Class"
"Ludlow_quality","subClassOf","geological_age"
"Lutetian_quality","class","owl:Class"
"Lutetian_quality","subClassOf","geological_age"
"Maastrichtian_quality","class","owl:Class"
"Maastrichtian_quality","subClassOf","geological_age"
"Marsdenian_Subage_quality","class","owl:Class"
"Marsdenian_Subage_quality","subClassOf","geological_age"
"Meghalayan_quality","class","owl:Class"
"Meghalayan_quality","subClassOf","geological_age"
"Meramecian_Age_quality","class","owl:Class"
"Meramecian_Age_quality","subClassOf","geological_age"
"Meso_alagoas_Subage_quality","class","owl:Class"
"Meso_alagoas_Subage_quality","subClassOf","geological_age"
"Meso_aratu_Subage_quality","class","owl:Class"
"Meso_aratu_Subage_quality","subClassOf","geological_age"
"Mesoarchean_quality","class","owl:Class"
"Mesoarchean_quality","subClassOf","geological_age"
"Mesodomjoao_Subage_quality","class","owl:Class"
"Mesodomjoao_Subage_quality","subClassOf","geological_age"
"Mesoproterozoic_quality","class","owl:Class"
"Mesoproterozoic_quality","subClassOf","geological_age"
"Mesoriodaserra_Subage_quality","class","owl:Class"
"Mesoriodaserra_Subage_quality","subClassOf","geological_age"
"Mesozoic_quality","class","owl:Class"
"Mesozoic_quality","subClassOf","geological_age"
"Messinian_quality","class","owl:Class"
"Messinian_quality","subClassOf","geological_age"
"Miaolingian_quality","class","owl:Class"
"Miaolingian_quality","subClassOf","geological_age"
"MiddleDevonian_quality","class","owl:Class"
"MiddleDevonian_quality","subClassOf","geological_age"
"MiddleJurassic_quality","class","owl:Class"
"MiddleJurassic_quality","subClassOf","geological_age"
"MiddleMississippian_quality","class","owl:Class"
"MiddleMississippian_quality","subClassOf","geological_age"
"MiddleOrdovician_quality","class","owl:Class"
"MiddleOrdovician_quality","subClassOf","geological_age"
"MiddlePennsylvanian_quality","class","owl:Class"
"MiddlePennsylvanian_quality","subClassOf","geological_age"
"MiddlePleistocene_quality","class","owl:Class"
"MiddlePleistocene_quality","subClassOf","geological_age"
"MiddleTriassic_quality","class","owl:Class"
"MiddleTriassic_quality","subClassOf","geological_age"
"Middle_Aalenian_Subage_quality","class","owl:Class"
"Middle_Aalenian_Subage_quality","subClassOf","geological_age"
"Middle_Albian_Subage_quality","class","owl:Class"
"Middle_Albian_Subage_quality","subClassOf","geological_age"
"Middle_Bathonian_Subage_quality","class","owl:Class"
"Middle_Bathonian_Subage_quality","subClassOf","geological_age"
"Middle_Berriasian_Subage_quality","class","owl:Class"
"Middle_Berriasian_Subage_quality","subClassOf","geological_age"
"Middle_Callovian_Subage_quality","class","owl:Class"
"Middle_Callovian_Subage_quality","subClassOf","geological_age"
"Middle_Campanian_Subage_quality","class","owl:Class"
"Middle_Campanian_Subage_quality","subClassOf","geological_age"
"Middle_Cenomanian_Subage_quality","class","owl:Class"
"Middle_Cenomanian_Subage_quality","subClassOf","geological_age"
"Middle_Coniacian_Subage_quality","class","owl:Class"
"Middle_Coniacian_Subage_quality","subClassOf","geological_age"
"Middle_Frasnian_Subage_quality","class","owl:Class"
"Middle_Frasnian_Subage_quality","subClassOf","geological_age"
"Middle_Givetian_Subage_quality","class","owl:Class"
"Middle_Givetian_Subage_quality","subClassOf","geological_age"
"Middle_Oxfordian_Subage_quality","class","owl:Class"
"Middle_Oxfordian_Subage_quality","subClassOf","geological_age"
"Middle_Santonian_Subage_quality","class","owl:Class"
"Middle_Santonian_Subage_quality","subClassOf","geological_age"
"Middle_Turonian_Subage_quality","class","owl:Class"
"Middle_Turonian_Subage_quality","subClassOf","geological_age"
"Miocene_quality","class","owl:Class"
"Miocene_quality","subClassOf","geological_age"
"Mississippian_quality","class","owl:Class"
"Mississippian_quality","subClassOf","geological_age"
"Missourian_Age_quality","class","owl:Class"
"Missourian_Age_quality","subClassOf","geological_age"
"Moliniacian_Subage_quality","class","owl:Class"
"Moliniacian_Subage_quality","subClassOf","geological_age"
"Morrowan_Age_quality","class","owl:Class"
"Morrowan_Age_quality","subClassOf","geological_age"
"Moscovian_quality","class","owl:Class"
"Moscovian_quality","subClassOf","geological_age"
"Namurian_Age_quality","class","owl:Class"
"Namurian_Age_quality","subClassOf","geological_age"
"Neo_alagoas_Subage_quality","class","owl:Class"
"Neo_alagoas_Subage_quality","subClassOf","geological_age"
"Neo_aratu_Subage_quality","class","owl:Class"
"Neo_aratu_Subage_quality","subClassOf","geological_age"
"Neoarchean_quality","class","owl:Class"
"Neoarchean_quality","subClassOf","geological_age"
"Neoburacica_Subage_quality","class","owl:Class"
"Neoburacica_Subage_quality","subClassOf","geological_age"
"Neodomjoao_Subage_quality","class","owl:Class"
"Neodomjoao_Subage_quality","subClassOf","geological_age"
"Neogene_quality","class","owl:Class"
"Neogene_quality","subClassOf","geological_age"
"Neojiquia_Subage_quality","class","owl:Class"
"Neojiquia_Subage_quality","subClassOf","geological_age"
"Neoproterozoic_quality","class","owl:Class"
"Neoproterozoic_quality","subClassOf","geological_age"
"Neoriodaserra_Subage_quality","class","owl:Class"
"Neoriodaserra_Subage_quality","subClassOf","geological_age"
"Norian_quality","class","owl:Class"
"Norian_quality","subClassOf","geological_age"
"Northgrippian_quality","class","owl:Class"
"Northgrippian_quality","subClassOf","geological_age"
"Olenekian_quality","class","owl:Class"
"Olenekian_quality","subClassOf","geological_age"
"Oligocene_quality","class","owl:Class"
"Oligocene_quality","subClassOf","geological_age"
"Ordovician_quality","class","owl:Class"
"Ordovician_quality","subClassOf","geological_age"
"Orosirian_quality","class","owl:Class"
"Orosirian_quality","subClassOf","geological_age"
"Osagean_Age_quality","class","owl:Class"
"Osagean_Age_quality","subClassOf","geological_age"
"Oxfordian_quality","class","owl:Class"
"Oxfordian_quality","subClassOf","geological_age"
"Paibian_quality","class","owl:Class"
"Paibian_quality","subClassOf","geological_age"
"Paleoarchean_quality","class","owl:Class"
"Paleoarchean_quality","subClassOf","geological_age"
"Paleocene_quality","class","owl:Class"
"Paleocene_quality","subClassOf","geological_age"
"Paleogene_quality","class","owl:Class"
"Paleogene_quality","subClassOf","geological_age"
"Paleoproterozoic_quality","class","owl:Class"
"Paleoproterozoic_quality","subClassOf","geological_age"
"Paleozoic_quality","class","owl:Class"
"Paleozoic_quality","subClassOf","geological_age"
"Pelsonian_Subage_quality","class","owl:Class"
"Pelsonian_Subage_quality","subClassOf","geological_age"
"Pendleian_Subage_quality","class","owl:Class"
"Pendleian_Subage_quality","subClassOf","geological_age"
"Pennsylvanian_quality","class","owl:Class"
"Pennsylvanian_quality","subClassOf","geological_age"
"Permian_quality","class","owl:Class"
"Permian_quality","subClassOf","geological_age"
"Phanerozoic_quality","class","owl:Class"
"Phanerozoic_quality","subClassOf","geological_age"
"Piacenzian_quality","class","owl:Class"
"Piacenzian_quality","subClassOf","geological_age"
"Pleistocene_quality","class","owl:Class"
"Pleistocene_quality","subClassOf","geological_age"
"Pliensbachian_quality","class","owl:Class"
"Pliensbachian_quality","subClassOf","geological_age"
"Pliocene_quality","class","owl:Class"
"Pliocene_quality","subClassOf","geological_age"
"Pragian_quality","class","owl:Class"
"Pragian_quality","subClassOf","geological_age"
"Precambrian_quality","class","owl:Class"
"Precambrian_quality","subClassOf","geological_age"
"Priabonian_quality","class","owl:Class"
"Priabonian_quality","subClassOf","geological_age"
"Pridoli_quality","class","owl:Class"
"Pridoli_quality","subClassOf","geological_age"
"Proterozoic_quality","class","owl:Class"
"Proterozoic_quality","subClassOf","geological_age"
"Pusgillian_Age_quality","class","owl:Class"
"Pusgillian_Age_quality","subClassOf","geological_age"
"Quaternary_quality","class","owl:Class"
"Quaternary_quality","subClassOf","geological_age"
"Rawtheyan_Age_quality","class","owl:Class"
"Rawtheyan_Age_quality","subClassOf","geological_age"
"Rhaetian_quality","class","owl:Class"
"Rhaetian_quality","subClassOf","geological_age"
"Rhuddanian_quality","class","owl:Class"
"Rhuddanian_quality","subClassOf","geological_age"
"Rhyacian_quality","class","owl:Class"
"Rhyacian_quality","subClassOf","geological_age"
"Rio_da_Serra_Age_quality","class","owl:Class"
"Rio_da_Serra_Age_quality","subClassOf","geological_age"
"Ripheano_quality","class","owl:Class"
"Ripheano_quality","subClassOf","geological_age"
"Roadian_quality","class","owl:Class"
"Roadian_quality","subClassOf","geological_age"
"Rotliegend_Epoch_quality","class","owl:Class"
"Rotliegend_Epoch_quality","subClassOf","geological_age"
"Rupelian_quality","class","owl:Class"
"Rupelian_quality","subClassOf","geological_age"
"Sakmarian_quality","class","owl:Class"
"Sakmarian_quality","subClassOf","geological_age"
"Sandbian_quality","class","owl:Class"
"Sandbian_quality","subClassOf","geological_age"
"Santonian_quality","class","owl:Class"
"Santonian_quality","subClassOf","geological_age"
"Selandian_quality","class","owl:Class"
"Selandian_quality","subClassOf","geological_age"
"Serpukhovian_quality","class","owl:Class"
"Serpukhovian_quality","subClassOf","geological_age"
"Serravallian_quality","class","owl:Class"
"Serravallian_quality","subClassOf","geological_age"
"Sevatian_Subage_quality","class","owl:Class"
"Sevatian_Subage_quality","subClassOf","geological_age"
"Sheinwoodian_quality","class","owl:Class"
"Sheinwoodian_quality","subClassOf","geological_age"
"Siderian_quality","class","owl:Class"
"Siderian_quality","subClassOf","geological_age"
"Silesian_Epoch_quality","class","owl:Class"
"Silesian_Epoch_quality","subClassOf","geological_age"
"Silurian_quality","class","owl:Class"
"Silurian_quality","subClassOf","geological_age"
"Sinemurian_quality","class","owl:Class"
"Sinemurian_quality","subClassOf","geological_age"
"Smithian_Subage_quality","class","owl:Class"
"Smithian_Subage_quality","subClassOf","geological_age"
"Spathian_Subage_quality","class","owl:Class"
"Spathian_Subage_quality","subClassOf","geological_age"
"Statherian_quality","class","owl:Class"
"Statherian_quality","subClassOf","geological_age"
"Stenian_quality","class","owl:Class"
"Stenian_quality","subClassOf","geological_age"
"Stephanian_Age_quality","class","owl:Class"
"Stephanian_Age_quality","subClassOf","geological_age"
"Sturtiano_quality","class","owl:Class"
"Sturtiano_quality","subClassOf","geological_age"
"Tatariano_quality","class","owl:Class"
"Tatariano_quality","subClassOf","geological_age"
"Telychian_quality","class","owl:Class"
"Telychian_quality","subClassOf","geological_age"
"Terreneuvian_quality","class","owl:Class"
"Terreneuvian_quality","subClassOf","geological_age"
"Thanetian_quality","class","owl:Class"
"Thanetian_quality","subClassOf","geological_age"
"Tithonian_quality","class","owl:Class"
"Tithonian_quality","subClassOf","geological_age"
"Toarcian_quality","class","owl:Class"
"Toarcian_quality","subClassOf","geological_age"
"Tonian_quality","class","owl:Class"
"Tonian_quality","subClassOf","geological_age"
"Tortonian_quality","class","owl:Class"
"Tortonian_quality","subClassOf","geological_age"
"Tournaisian_quality","class","owl:Class"
"Tournaisian_quality","subClassOf","geological_age"
"Tremadocian_quality","class","owl:Class"
"Tremadocian_quality","subClassOf","geological_age"
"Triassic_quality","class","owl:Class"
"Triassic_quality","subClassOf","geological_age"
"Turonian_quality","class","owl:Class"
"Turonian_quality","subClassOf","geological_age"
"Tuvalian_Subage_quality","class","owl:Class"
"Tuvalian_Subage_quality","subClassOf","geological_age"
"Ufimiano_quality","class","owl:Class"
"Ufimiano_quality","subClassOf","geological_age"
"UpperCretaceous_quality","class","owl:Class"
"UpperCretaceous_quality","subClassOf","geological_age"
"UpperDevonian_quality","class","owl:Class"
"UpperDevonian_quality","subClassOf","geological_age"
"UpperJurassic_quality","class","owl:Class"
"UpperJurassic_quality","subClassOf","geological_age"
"UpperMississippian_quality","class","owl:Class"
